SampleID,StochasticSolution,ExpectedValueSolution
1.0,1.719431375e6,6.0897005e6
2.0,5.005074e6,8.902745e6
3.0,864040.9375,-736252.3125
4.0,5.515488e6,1.0045505e7
5.0,5.281114e6,2.59884775e6
6.0,2.36508425e6,4.12953225e6
7.0,875183.0,4.411876e6
8.0,229309.96875,-1.26078475e6
9.0,-161849.53125,-1.11770575e6
10.0,-4.5327605e6,-5.3901415e6
11.0,-3.8092625e6,-2.440551e6
12.0,1.2199595e6,2.621772e6
13.0,2.09199925e6,8.5554e6
14.0,1.434100625e6,5.6399695e6
15.0,2.9000185e6,912687.0
16.0,-271088.125,536043.375
17.0,-1.69381175e6,4.10101075e6
18.0,-1.510162e6,1.223537125e6
19.0,2.9468055e6,1.560481375e6
20.0,-2.284216e6,-1.997777e6
21.0,-662818.5,-1.25774075e6
22.0,-459578.375,2.191226e6
23.0,957242.6875,5.3348465e6
24.0,402776.875,-1.171469375e6
25.0,-911055.4375,1.376885625e6
26.0,-1.1618625e6,3.412962e6
27.0,-200936.03125,-2.254398e6
28.0,1.544457625e6,2.2246595e6
29.0,500881.15625,1.163582375e6
30.0,-3.2739225e6,-4.7360435e6
31.0,-1.001013625e6,-1.145648125e6
32.0,4.3737765e6,4.0791495e6
33.0,-553132.0625,-762693.125
34.0,-1.0014901875e6,-3.16037925e6
35.0,8.407355e6,1.4063483e7
36.0,1.36397775e6,928896.5
37.0,-1.134908375e6,-1.965103e6
38.0,606797.125,-822586.25
39.0,575641.75,2.0888505e6
40.0,39215.609375,2.311406e6
41.0,-113327.84375,6.9704685e6
42.0,248235.03125,-2.371661e6
43.0,-1.564770125e6,-2.48844675e6
44.0,2.70663825e6,610071.75
45.0,-453029.65625,103690.375
46.0,2.005606e6,3.08511125e6
47.0,-3.038312e6,-4.47371e6
48.0,3.13629125e6,4.2307205e6
49.0,-810814.25,-94612.265625
50.0,-4.8166385e6,-6.982033e6
51.0,-1.73368275e6,-4.2556005e6
52.0,-827.6015625,2.78316875e6
53.0,-1.54585775e6,-1.781070375e6
54.0,416113.96875,566731.75
55.0,2.97457075e6,7.648275e6
56.0,1.0246740625e6,7.002528e6
57.0,779178.5625,12222.44921875
58.0,-3.57064325e6,-1.091377e6
59.0,-2.29186575e6,-3.32401975e6
60.0,2.2066515e6,-120517.421875
61.0,1.545615125e6,134773.40625
62.0,686186.75,4.16500375e6
63.0,784748.3125,-141634.0625
64.0,4.8253085e6,6.420061e6
65.0,-488211.71875,-5.1317285e6
66.0,198583.84375,2.36369025e6
67.0,-4.470567e6,-3.2417005e6
68.0,1.583017125e6,2.861499e6
69.0,-1.370187125e6,-1.610162375e6
70.0,-759526.1875,-1.454316875e6
71.0,-1.592261e6,-2.738278e6
72.0,-1.608881625e6,2.418449e6
73.0,5.3356745e6,6.282995e6
74.0,-1.317022125e6,-1.44018925e6
75.0,-321692.21875,1.681505625e6
76.0,2.97435925e6,1.6854535e6
77.0,3.4288095e6,1.0475401e7
78.0,-3.90912525e6,-9.362189e6
79.0,115717.3515625,-2.77411825e6
80.0,-1.148707e6,-1.178022875e6
81.0,-1.07352075e6,-4.1299085e6
82.0,2.74645475e6,4.2608355e6
83.0,1.3368605e6,6.0499765e6
84.0,947634.875,-932212.125
85.0,-3.312768e6,-8.604566e6
86.0,1.222750375e6,5.092768e6
87.0,-1.197406e6,-941600.75
88.0,-1.473121e6,-1.7723595e6
89.0,-3.2603685e6,-1.99115775e6
90.0,2.7197625e6,6.7661655e6
91.0,-179689.078125,963054.0
92.0,-3.304484e6,-3.913494e6
93.0,3.73674475e6,4.9708975e6
94.0,-890264.0,-2.15601175e6
95.0,-2.66488225e6,-3.788174e6
96.0,-642246.8125,925103.4375
97.0,2.30238025e6,-2.903383e6
98.0,-3.22215e6,-3.14968e6
99.0,-3.003043e6,-2.39512675e6
100.0,293694.5,1.880604875e6
